Authors,Authors_link,Title,Title_link,Date
"Crawford, M., Massoud, H., Ayoubi, R., Nabih, Y.","https://pureportal.coventry.ac.uk/en/persons/rami-ayoubi,  https://pureportal.coventry.ac.uk/en/persons/megan-crawford",A revisit to the role of gender in moderating the effect of emotional intelligence on leadership effectiveness: A study from Egypt,https://pureportal.coventry.ac.uk/en/publications/a-revisit-to-the-role-of-gender-in-moderating-the-effect-of-emoti,21 May 2023
"Ezeonyeka, G., Inyang, I., Houmadi, A., Johnson, E., Eskender, M., Johnson, L.","https://pureportal.coventry.ac.uk/en/persons/emmanuel-johnson,  https://pureportal.coventry.ac.uk/en/persons/godswill-ezeonyeka",Becoming Nigerian,https://pureportal.coventry.ac.uk/en/publications/becoming-nigerian,25 Mar 2023
"Morini, L., Dang, Q.","https://pureportal.coventry.ac.uk/en/persons/que-anh-dang,  https://pureportal.coventry.ac.uk/en/persons/luca-morini",Between sameness and difference: challenges for TNE,https://pureportal.coventry.ac.uk/en/publications/between-sameness-and-difference-challenges-for-tne,11 Mar 2023
"Karakus, M., Hajar, A.",https://pureportal.coventry.ac.uk/en/persons/mehmet-karakus,Coming out of the shadows: Investing in English private tutoring at a transition point in Kazakhstan’s education system during the global pandemic,https://pureportal.coventry.ac.uk/en/publications/coming-out-of-the-shadows-investing-in-english-private-tutoring-a,29 May 2023
"Orsini-Jones, M.",https://pureportal.coventry.ac.uk/en/persons/marina-orsini-jones,Foreword,https://pureportal.coventry.ac.uk/en/publications/foreword-2,1 May 2023
"Affouneh, S., Yaseen, D., Angelov, D., Wimpenny, K., Salha, S., Khlaif, Z. N.","https://pureportal.coventry.ac.uk/en/persons/katherine-wimpenny,  https://pureportal.coventry.ac.uk/en/persons/dimitar-angelov",Fostering a culture of qualitative research and scholarly publication in a leading university in the West Bank: a Palestinian-UK capacity-building collaboration,https://pureportal.coventry.ac.uk/en/publications/fostering-a-culture-of-qualitative-research-and-scholarly-publica,4 Jul 2023
"Charalampous, M., Grant, C. A., Tramontano, C.","https://pureportal.coventry.ac.uk/en/persons/christine-grant,  https://pureportal.coventry.ac.uk/en/persons/carlo-tramontano",Getting the measure of remote e-working: a revision and further validation of the E-work life scale,https://pureportal.coventry.ac.uk/en/publications/getting-the-measure-of-remote-e-working-a-revision-and-further-va,2 Jan 2023
"Cawston, J., Mfecoe, N., Powell, D., Angelov, D.","https://pureportal.coventry.ac.uk/en/persons/jacqueline-cawston-2,  https://pureportal.coventry.ac.uk/en/persons/dimitar-angelov",Hacking the Museum: Mandela27 - A Democratic DIY Pop-Up Installation,https://pureportal.coventry.ac.uk/en/publications/hacking-the-museum-mandela27-a-democratic-diy-pop-up-installation,16 May 2023
"Crawford, M., Muhammad, R. R., Lawson, D., Aslam, F.","https://pureportal.coventry.ac.uk/en/persons/duncan-lawson,  https://pureportal.coventry.ac.uk/en/persons/rosida-rakhmawati-muhammad,  https://pureportal.coventry.ac.uk/en/persons/farzana-aslam,  https://pureportal.coventry.ac.uk/en/persons/megan-crawford",Indonesian 2013 Curriculum Ten Years On: Impact on Mathematics Teaching,https://pureportal.coventry.ac.uk/en/publications/indonesian-2013-curriculum-ten-years-on-impact-on-mathematics-tea,15 Jun 2023
"Cawston, J.",https://pureportal.coventry.ac.uk/en/persons/jacqueline-cawston-2,"Interactive Media for Cultural Heritage book: ""From Headsets to Mindsets: A Taxonomy for Human-centred Extended Reality Experimentations for Cultural Heritage.""",https://pureportal.coventry.ac.uk/en/publications/interactive-media-for-cultural-heritage-book-from-headsets-to-min,30 Oct 2023
"Courtney, M., Karakus, M., Singh, N.",https://pureportal.coventry.ac.uk/en/persons/mehmet-karakus,Measuring student well-being in adolescence: proposal of a five-factor integrative model based on PISA 2018 survey data,https://pureportal.coventry.ac.uk/en/publications/measuring-student-well-being-in-adolescence-proposal-of-a-five-fa,3 Jun 2023
"Dang, Q.",https://pureportal.coventry.ac.uk/en/persons/que-anh-dang,'Nordic added value’: a floating signifier and a mechanism for Nordic higher education regionalism,https://pureportal.coventry.ac.uk/en/publications/nordic-added-value-a-floating-signifier-and-a-mechanism-for-nordi,3 Apr 2023
"Karakus, M., Hajar, A.",https://pureportal.coventry.ac.uk/en/persons/mehmet-karakus,Obituary for Zoltán Dörnyei (1960–2022): a bibliometric mapping of his publications,https://pureportal.coventry.ac.uk/en/publications/obituary-for-zolt%C3%A1n-d%C3%B6rnyei-19602022-a-bibliometric-mapping-of-hi,5 Jul 2023
"Schürmann, M., Liebendörfer, M., Hodds, M., Lawson, D., Gilbert, H. J.","https://pureportal.coventry.ac.uk/en/persons/holly-jade-gilbert,  https://pureportal.coventry.ac.uk/en/persons/duncan-lawson,  https://pureportal.coventry.ac.uk/en/persons/mark-hodds",Post-pandemic online mathematics and statistics support: Practitioners’ opinions in Germany and Great Britain & Ireland,https://pureportal.coventry.ac.uk/en/publications/post-pandemic-online-mathematics-and-statistics-support-practitio,19 Mar 2023
"Fero, K.",https://pureportal.coventry.ac.uk/en/persons/ken-fero,Resistant Imagery in Struggles for Justice,https://pureportal.coventry.ac.uk/en/publications/resistant-imagery-in-struggles-for-justice,26 May 2023
"Adie, J. W., Tramontano, C., Mulvenna, M.","https://pureportal.coventry.ac.uk/en/persons/james-adie,  https://pureportal.coventry.ac.uk/en/persons/carlo-tramontano","Self-based goals, underlying reasons, performance and discrete emotions among parkrunners",https://pureportal.coventry.ac.uk/en/publications/self-based-goals-underlying-reasons-performance-and-discrete-emot,3 Jul 2023
"Mohamad, F. S., Wimpenny, K., Thom Nguyen, T. T., Arnab, S., Muhibuddin, F.","https://pureportal.coventry.ac.uk/en/persons/katherine-wimpenny,  https://pureportal.coventry.ac.uk/en/persons/sylvester-arnab",The engaged university: Exploring mutuality and reciprocity between and within communities inside and outside universities through ACES.,https://pureportal.coventry.ac.uk/en/publications/the-engaged-university-exploring-mutuality-and-reciprocity-betwee,2023
"Hodds, M.",https://pureportal.coventry.ac.uk/en/persons/mark-hodds,The impact of Covid-19 on mathematical entry competencies: 1 year on,https://pureportal.coventry.ac.uk/en/publications/the-impact-of-covid-19-on-mathematical-entry-competencies-1-year-,18 Jan 2023
"Courtney, M., Karakus, M., Torrano, D. H., Jumakulov, Z., Helmer, J., Sharplin, E.",https://pureportal.coventry.ac.uk/en/persons/mehmet-karakus,"The role of teacher selection criteria and preparation on teacher self-efficacy, satisfaction, and commitment: An analysis of Kazakhstani TALIS data",https://pureportal.coventry.ac.uk/en/publications/the-role-of-teacher-selection-criteria-and-preparation-on-teacher,27 May 2023
"Karakus, M., Hajar, A.",https://pureportal.coventry.ac.uk/en/persons/mehmet-karakus,Throwing light on fee-charging tutoring during the global pandemic in Kazakhstan: implications for the future of higher education,https://pureportal.coventry.ac.uk/en/publications/throwing-light-on-fee-charging-tutoring-during-the-global-pandemi,26 Feb 2023
"Toprak, M., Chen, J., Karakus, M.",https://pureportal.coventry.ac.uk/en/persons/mehmet-karakus,Transformational school leadership: a systematic review of research in a centralized education system,https://pureportal.coventry.ac.uk/en/publications/transformational-school-leadership-a-systematic-review-of-researc,23 Jun 2023
"Aydin, H., Courtney, M., Karakus, M.",https://pureportal.coventry.ac.uk/en/persons/mehmet-karakus,Understanding the Academic Achievement of the First- and Second-Generation Immigrant Students: A Multi-level Analysis of PISA 2018 Data,https://pureportal.coventry.ac.uk/en/publications/understanding-the-academic-achievement-of-the-first-and-second-ge,May 2023
"Johnson, E.",https://pureportal.coventry.ac.uk/en/persons/emmanuel-johnson,What does it Mean to be Educated in Nigerian Student Experience?,https://pureportal.coventry.ac.uk/en/publications/what-does-it-mean-to-be-educated-in-nigerian-student-experience,1 Jun 2023
"Morini, L., Noreen, S.",https://pureportal.coventry.ac.uk/en/persons/luca-morini,75 Years of Scouting/Guiding Activities in Pakistan - Celebrating the Shared British Heritage of Active Citizenship,https://pureportal.coventry.ac.uk/en/publications/75-years-of-scoutingguiding-activities-in-pakistan-celebrating-th,Dec 2022
"Karakus, M., Hajar, A.",https://pureportal.coventry.ac.uk/en/persons/mehmet-karakus,"A bibliometric mapping of shadow education research: achievements, limitations, and the future",https://pureportal.coventry.ac.uk/en/publications/a-bibliometric-mapping-of-shadow-education-research-achievements-,Jun 2022
"Mohamad, F., Wimpenny, K., Thom Nguyen, T. T., Mahon, D., Arnab, S., Muhibuddin, F.","https://pureportal.coventry.ac.uk/en/persons/katherine-wimpenny,  https://pureportal.coventry.ac.uk/en/persons/sylvester-arnab",ACES - A Community-centred Educational Model for Developing Social Resilience,https://pureportal.coventry.ac.uk/en/publications/aces-a-community-centred-educational-model-for-developing-social-,6 Sept 2022
"Fero, K.",https://pureportal.coventry.ac.uk/en/persons/ken-fero,"After Carlo Giuliani, After Joy Gardner, After George Floyd – collective memory and radical film'.",https://pureportal.coventry.ac.uk/en/publications/after-carlo-giuliani-after-joy-gardner-after-george-floyd-collect,15 Jun 2022
"Khashab, B., Strong, C., Gulliver, S., Ayoubi, R.","https://pureportal.coventry.ac.uk/en/persons/basel-khashab,  https://pureportal.coventry.ac.uk/en/persons/rami-ayoubi",Analysing enterprise resources for developing CRM framework in higher education institutions,https://pureportal.coventry.ac.uk/en/publications/analysing-enterprise-resources-for-developing-crm-framework-in-hi,24 Nov 2022
